HVAC System,CentralOrZonal,ZoneEquipment1ObjectType,ZoneEquipment1Name,ZoneEquipment1CoolingSequence,ZoneEquipment1HeatingSequence,ZoneEquipment2ObjectType,ZoneEquipment2Name,ZoneEquipment2CoolingSequence,ZoneEquipment2HeatingSequence,ZoneAirInletNodeName,ZoneAirExhaustNodeName,ZoneReturnAirNodeName,unitaryTextFile,airDistUnitTextFile,heatCoilTextFile,heatCoilFuelType,coolCoilTextFile,fanTextFile,AirLoopHVAC_HeatingCoil_ObjectType,AirLoopHVAC_HeatingCoil_Name,AirLoopHVAC_CoolingCoil_ObjectType,AirLoopHVAC_CoolingCoil_Name,AirLoopHVAC_Unitary_ObjectType,AirLoopHVAC_Unitary_ObjectName,fan_name,heating_speeds,cooling_speeds,fan_CFMperTon_max,fan_CFMmult_spd_1,fan_CFMmult_spd_2,fan_CFMmult_spd_3,fan_CFMmult_spd_4,capacitymult_spd_1,capacitymult_spd_2,capacitymult_spd_3,capacitymult_spd_4
Single Speed ASHP (8.2 HSPF 14 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatPumpSS.txt,ADU.txt,Heating_ASHP_SS_8.2HSPF.txt,$,Cooling_ASHP_SS_14SEER.txt,CentralFanSS.txt,Coil:Heating:DX:SingleSpeed,DX_Heating_Coil,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatPump:AirtoAir,SS Heat Pump,Fan,1,1,375,1,-999,-999,-999,1,-999,-999,-999
Single Speed ASHP (8.5 HSPF 15 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatPumpSS.txt,ADU.txt,Heating_ASHP_SS_8.5HSPF.txt,$,Cooling_ASHP_SS_15SEER.txt,CentralFanSS.txt,Coil:Heating:DX:SingleSpeed,DX_Heating_Coil,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatPump:AirtoAir,SS Heat Pump,Fan,1,1,375,1,-999,-999,-999,1,-999,-999,-999
Dual Speed ASHP (9.5 HSPF 19 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatPumpDS.txt,ADU.txt,Heating_ASHP_DS_9.5HSPF.txt,$,Cooling_ASHP_DS_19SEER.txt,CentralFanMS.txt,Coil:Heating:DX:MultiSpeed,DX_Heating_Coil,Coil:Cooling:DX:MultiSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,DS Heat Pump,Fan,2,2,380,0.75,1,-999,-999,0.72,1,-999,-999
Variable Speed ASHP (10 HSPF 22 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatPumpMS.txt,ADU.txt,Heating_ASHP_VS_10HSPF.txt,$,Cooling_ASHP_VS_22SEER.txt,CentralFanMS.txt,Coil:Heating:DX:MultiSpeed,DX_Heating_Coil,Coil:Cooling:DX:MultiSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,MS Heat Pump,Fan,4,4,320,0.6,0.9,1,1.2,0.49,0.67,1,1.2
Electric Furnace with CAC (14 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Resistance_Main.txt,$,Cooling_ASHP_SS_14SEER.txt,CentralFanSS.txt,Coil:Heating:Electric,Heating_Resistance_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,250,1,-999,-999,-999,1,-999,-999,-999
Electric Furnace with CAC (15 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Resistance_Main.txt,$,Cooling_ASHP_SS_15SEER.txt,CentralFanSS.txt,Coil:Heating:Electric,Heating_Resistance_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,250,1,-999,-999,-999,1,-999,-999,-999
Electric Furnace with No CAC,Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatOnly.txt,ADU.txt,Heating_Resistance_Main.txt,$,No,CentralFanSS.txt,Coil:Heating:Electric,Heating_Resistance_Main,No,No,AirLoopHVAC:UnitaryHeatOnly,Furnace,Fan,1,1,250,1,-999,-999,-999,1,-999,-999,-999
Nat. Gas Furnace with CAC (10 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Fuel_Main.txt,NaturalGas,Cooling_CAC_SS_10SEER.txt,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Nat. Gas Furnace with CAC (11.5 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Fuel_Main.txt,NaturalGas,Cooling_CAC_SS_11.5SEER.txt,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Nat. Gas Furnace with CAC (13 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Fuel_Main.txt,NaturalGas,Cooling_CAC_SS_13SEER.txt,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Nat. Gas Furnace with CAC (14 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Fuel_Main.txt,NaturalGas,Cooling_CAC_SS_14SEER.txt,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Nat. Gas Furnace with CAC (15.5 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Fuel_Main.txt,NaturalGas,Cooling_CAC_SS_15.5SEER.txt,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Nat. Gas Furnace with CAC (19 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Fuel_Main.txt,NaturalGas,Cooling_CAC_SS_19SEER.txt,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Nat. Gas Furnace with No CAC,Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatOnly.txt,ADU.txt,Heating_Fuel_Main.txt,NaturalGas,No,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,No,No,AirLoopHVAC:UnitaryHeatOnly,Furnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Propane Furnace with CAC (14 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Fuel_Main.txt,Propane,Cooling_ASHP_SS_14SEER.txt,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Propane Furnace with CAC (15 SEER),Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Fuel_Main.txt,Propane,Cooling_ASHP_SS_15SEER.txt,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Propane Furnace with No CAC,Central,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatOnly.txt,ADU.txt,Heating_Fuel_Main.txt,Propane,No,CentralFanSS.txt,Coil:Heating:Fuel,Heating_Fuel_Main,No,No,AirLoopHVAC:UnitaryHeatOnly,Furnace,Fan,1,1,200,1,-999,-999,-999,1,-999,-999,-999
Resistance Wall Heat with No AC,Zonal,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatOnly.txt,ADU.txt,Heating_Resistance_Main.txt,$,No,ZonalFanSS.txt,Coil:Heating:Electric,Heating_Resistance_Main,No,No,AirLoopHVAC:UnitaryHeatOnly,Furnace,Fan,1,1,325,1,-999,-999,-999,1,-999,-999,-999
Resistance Wall Heat with Room AC (8.5 EER),Zonal,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Resistance_Main.txt,$,Cooling_WinAC_8.5EER.txt,ZonalFanSS.txt,Coil:Heating:Electric,Heating_Resistance_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,325,1,-999,-999,-999,1,-999,-999,-999
Resistance Wall Heat with Room AC (9.8 EER),Zonal,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Resistance_Main.txt,$,Cooling_WinAC_9.8EER.txt,ZonalFanSS.txt,Coil:Heating:Electric,Heating_Resistance_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,325,1,-999,-999,-999,1,-999,-999,-999
Resistance Wall Heat with Room AC (10.7 EER),Zonal,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatCool.txt,ADU.txt,Heating_Resistance_Main.txt,$,Cooling_WinAC_10.7EER.txt,ZonalFanSS.txt,Coil:Heating:Electric,Heating_Resistance_Main,Coil:Cooling:DX:SingleSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatCool,ACandFurnace,Fan,1,1,325,1,-999,-999,-999,1,-999,-999,-999
Ductless Heat Pump (10 HSPF 22 SEER),Zonal,ZoneHVAC:AirDistributionUnit,ZoneDirectAir ADU,1,1,!-,!-,!-,!-,Zone Inlet Node,,Zone Outlet Node,UnitaryHeatPumpMS.txt,ADU.txt,Heating_DHP_VS_10HSPF.txt,$,Cooling_ASHP_VS_22SEER.txt,ZonalFanMS.txt,Coil:Heating:DX:MultiSpeed,DX_Heating_Coil,Coil:Cooling:DX:MultiSpeed,DX_Cooling_Coil,AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,MS Heat Pump,Fan,4,4,285,0.3,0.67,0.85,1,0.3,0.67,1,1.26
